"Gebied","Code_Plot","Code_Subplot","Plot_Nr","Positie","X_Lamb","Y_Lamb","datum","substaalcode","type"
"Westhoek","dwhp_01","dwhp_01c","1","c","23709.6","198062.1",2021-06-01,"dwhp_01c_20210601","VJ"
"Westhoek","dwhp_01","dwhp_01c","1","c","23709.6","198062.1",2021-09-03,"dwhp_01c_20210903","NJ"
"Westhoek","dwhp_01","dwhp_01n","1","n","23709.6","198064.1",2021-06-01,"dwhp_01n_20210601","VJ"
"Westhoek","dwhp_01","dwhp_01n","1","n","23709.6","198064.1",2021-09-03,"dwhp_01n_20210903","NJ"
"Westhoek","dwhp_01","dwhp_01o","1","o","23711.6","198062.1",2021-06-01,"dwhp_01o_20210601","VJ"
"Westhoek","dwhp_01","dwhp_01o","1","o","23711.6","198062.1",2021-09-03,"dwhp_01o_20210903","NJ"
"Westhoek","dwhp_01","dwhp_01w","1","w","23707.6","198062.1",2021-06-01,"dwhp_01w_20210601","VJ"
"Westhoek","dwhp_01","dwhp_01w","1","w","23707.6","198062.1",2021-09-03,"dwhp_01w_20210903","NJ"
"Westhoek","dwhp_01","dwhp_01z","1","z","23709.6","198060.1",2021-06-01,"dwhp_01z_20210601","VJ"
"Westhoek","dwhp_01","dwhp_01z","1","z","23709.6","198060.1",2021-09-03,"dwhp_01z_20210903","NJ"
"Westhoek","dwhp_02","dwhp_02c","2","c","23933.6","198350.1",2021-06-01,"dwhp_02c_20210601","VJ"
"Westhoek","dwhp_02","dwhp_02c","2","c","23933.6","198350.1",2021-09-03,"dwhp_02c_20210903","NJ"
"Westhoek","dwhp_02","dwhp_02n","2","n","23933.6","198352.1",2021-06-01,"dwhp_02n_20210601","VJ"
"Westhoek","dwhp_02","dwhp_02n","2","n","23933.6","198352.1",2021-09-03,"dwhp_02n_20210903","NJ"
"Westhoek","dwhp_02","dwhp_02o","2","o","23935.6","198350.1",2021-06-01,"dwhp_02o_20210601","VJ"
"Westhoek","dwhp_02","dwhp_02o","2","o","23935.6","198350.1",2021-09-03,"dwhp_02o_20210903","NJ"
"Westhoek","dwhp_02","dwhp_02w","2","w","23931.6","198350.1",2021-06-01,"dwhp_02w_20210601","VJ"
"Westhoek","dwhp_02","dwhp_02w","2","w","23931.6","198350.1",2021-09-03,"dwhp_02w_20210903","NJ"
"Westhoek","dwhp_02","dwhp_02z","2","z","23933.6","198348.1",2021-06-01,"dwhp_02z_20210601","VJ"
"Westhoek","dwhp_02","dwhp_02z","2","z","23933.6","198348.1",2021-09-03,"dwhp_02z_20210903","NJ"
"Westhoek","dwhp_03","dwhp_03c","3","c","23133.6","198830.1",2022-06-01,"dwhp_03c_20220601","VJ"
"Westhoek","dwhp_03","dwhp_03c","3","c","23133.6","198830.1",2022-08-24,"dwhp_03c_20220824","NJ"
"Westhoek","dwhp_03","dwhp_03n","3","n","23133.6","198832.1",2022-06-01,"dwhp_03n_20220601","VJ"
"Westhoek","dwhp_03","dwhp_03n","3","n","23133.6","198832.1",2022-08-24,"dwhp_03n_20220824","NJ"
"Westhoek","dwhp_03","dwhp_03o","3","o","23135.6","198830.1",2022-06-01,"dwhp_03o_20220601","VJ"
"Westhoek","dwhp_03","dwhp_03o","3","o","23135.6","198830.1",2022-08-24,"dwhp_03o_20220824","NJ"
"Westhoek","dwhp_03","dwhp_03w","3","w","23131.6","198830.1",2022-06-01,"dwhp_03w_20220601","VJ"
"Westhoek","dwhp_03","dwhp_03w","3","w","23131.6","198830.1",2022-08-24,"dwhp_03w_20220824","NJ"
"Westhoek","dwhp_03","dwhp_03z","3","z","23133.6","198828.1",2022-06-01,"dwhp_03z_20220601","VJ"
"Westhoek","dwhp_03","dwhp_03z","3","z","23133.6","198828.1",2022-08-24,"dwhp_03z_20220824","NJ"
"Westhoek","dwhp_04","dwhp_04c","4","c","23709.6","198382.1",2021-06-01,"dwhp_04c_20210601","VJ"
"Westhoek","dwhp_04","dwhp_04c","4","c","23709.6","198382.1",2021-09-03,"dwhp_04c_20210903","NJ"
"Westhoek","dwhp_04","dwhp_04n","4","n","23709.6","198384.1",2021-06-01,"dwhp_04n_20210601","VJ"
"Westhoek","dwhp_04","dwhp_04n","4","n","23709.6","198384.1",2021-09-03,"dwhp_04n_20210903","NJ"
"Westhoek","dwhp_04","dwhp_04o","4","o","23711.6","198382.1",2021-06-01,"dwhp_04o_20210601","VJ"
"Westhoek","dwhp_04","dwhp_04o","4","o","23711.6","198382.1",2021-09-03,"dwhp_04o_20210903","NJ"
"Westhoek","dwhp_04","dwhp_04w","4","w","23707.6","198382.1",2021-06-01,"dwhp_04w_20210601","VJ"
"Westhoek","dwhp_04","dwhp_04w","4","w","23707.6","198382.1",2021-09-03,"dwhp_04w_20210903","NJ"
"Westhoek","dwhp_04","dwhp_04z","4","z","23709.6","198380.1",2021-06-01,"dwhp_04z_20210601","VJ"
"Westhoek","dwhp_04","dwhp_04z","4","z","23709.6","198380.1",2021-09-03,"dwhp_04z_20210903","NJ"
"Westhoek","dwhp_05","dwhp_05c","5","c","22749.6","198318.1",2021-06-01,"dwhp_05c_20210601","VJ"
"Westhoek","dwhp_05","dwhp_05c","5","c","22749.6","198318.1",2023-09-06,"dwhp_05c_20230906","NJ"
"Westhoek","dwhp_05","dwhp_05n","5","n","22749.6","198320.1",2021-06-01,"dwhp_05n_20210601","VJ"
"Westhoek","dwhp_05","dwhp_05n","5","n","22749.6","198320.1",2023-09-06,"dwhp_05n_20230906","NJ"
"Westhoek","dwhp_05","dwhp_05o","5","o","22751.6","198318.1",2021-06-01,"dwhp_05o_20210601","VJ"
"Westhoek","dwhp_05","dwhp_05o","5","o","22751.6","198318.1",2023-09-06,"dwhp_05o_20230906","NJ"
"Westhoek","dwhp_05","dwhp_05w","5","w","22747.6","198318.1",2021-06-01,"dwhp_05w_20210601","VJ"
"Westhoek","dwhp_05","dwhp_05w","5","w","22747.6","198318.1",2023-09-06,"dwhp_05w_20230906","NJ"
"Westhoek","dwhp_05","dwhp_05z","5","z","22749.6","198316.1",2021-06-01,"dwhp_05z_20210601","VJ"
"Westhoek","dwhp_05","dwhp_05z","5","z","22749.6","198316.1",2023-09-06,"dwhp_05z_20230906","NJ"
"Westhoek","dwhp_06","dwhp_06c","6","c","22771.6","199022.1",2021-05-27,"dwhp_06c_20210527","VJ"
"Westhoek","dwhp_06","dwhp_06c","6","c","22771.6","199022.1",2021-09-03,"dwhp_06c_20210903","NJ"
"Westhoek","dwhp_06","dwhp_06n","6","n","22771.6","199024.1",2021-05-27,"dwhp_06n_20210527","VJ"
"Westhoek","dwhp_06","dwhp_06n","6","n","22771.6","199024.1",2021-09-03,"dwhp_06n_20210903","NJ"
"Westhoek","dwhp_06","dwhp_06o","6","o","22773.6","199022.1",2021-05-27,"dwhp_06o_20210527","VJ"
"Westhoek","dwhp_06","dwhp_06o","6","o","22773.6","199022.1",2021-09-03,"dwhp_06o_20210903","NJ"
"Westhoek","dwhp_06","dwhp_06w","6","w","22769.6","199022.1",2021-05-27,"dwhp_06w_20210527","VJ"
"Westhoek","dwhp_06","dwhp_06w","6","w","22769.6","199022.1",2021-09-03,"dwhp_06w_20210903","NJ"
"Westhoek","dwhp_06","dwhp_06z","6","z","22771.6","199020.1",2021-05-28,"dwhp_06z_20210528","VJ"
"Westhoek","dwhp_06","dwhp_06z","6","z","22771.6","199020.1",2021-09-03,"dwhp_06z_20210903","NJ"
"Westhoek","dwhp_07","dwhp_07c","7","c","22525.6","198862.1",2021-05-28,"dwhp_07c_20210528","VJ"
"Westhoek","dwhp_07","dwhp_07c","7","c","22525.6","198862.1",2021-09-03,"dwhp_07c_20210903","NJ"
"Westhoek","dwhp_07","dwhp_07n","7","n","22525.6","198864.1",2021-05-28,"dwhp_07n_20210528","VJ"
"Westhoek","dwhp_07","dwhp_07n","7","n","22525.6","198864.1",2021-09-03,"dwhp_07n_20210903","NJ"
"Westhoek","dwhp_07","dwhp_07o","7","o","22527.6","198862.1",2021-05-28,"dwhp_07o_20210528","VJ"
"Westhoek","dwhp_07","dwhp_07o","7","o","22527.6","198862.1",2021-09-03,"dwhp_07o_20210903","NJ"
"Westhoek","dwhp_07","dwhp_07w","7","w","22523.6","198862.1",2021-05-28,"dwhp_07w_20210528","VJ"
"Westhoek","dwhp_07","dwhp_07w","7","w","22523.6","198862.1",2021-09-03,"dwhp_07w_20210903","NJ"
"Westhoek","dwhp_07","dwhp_07z","7","z","22525.6","198860.1",2021-05-28,"dwhp_07z_20210528","VJ"
"Westhoek","dwhp_07","dwhp_07z","7","z","22525.6","198860.1",2021-09-03,"dwhp_07z_20210903","NJ"
"Westhoek","dwhp_08","dwhp_08c","8","c","23165.6","199214.1",2022-05-31,"dwhp_08c_20220531","VJ"
"Westhoek","dwhp_08","dwhp_08c","8","c","23165.6","199214.1",2022-08-24,"dwhp_08c_20220824","NJ"
"Westhoek","dwhp_08","dwhp_08n","8","n","23165.6","199216.1",2022-05-31,"dwhp_08n_20220531","VJ"
"Westhoek","dwhp_08","dwhp_08n","8","n","23165.6","199216.1",2022-08-24,"dwhp_08n_20220824","NJ"
"Westhoek","dwhp_08","dwhp_08o","8","o","23167.6","199214.1",2022-05-31,"dwhp_08o_20220531","VJ"
"Westhoek","dwhp_08","dwhp_08o","8","o","23167.6","199214.1",2022-08-24,"dwhp_08o_20220824","NJ"
"Westhoek","dwhp_08","dwhp_08w","8","w","23163.6","199214.1",2022-05-31,"dwhp_08w_20220531","VJ"
"Westhoek","dwhp_08","dwhp_08w","8","w","23163.6","199214.1",2022-08-24,"dwhp_08w_20220824","NJ"
"Westhoek","dwhp_08","dwhp_08z","8","z","23165.6","199212.1",2022-05-31,"dwhp_08z_20220531","VJ"
"Westhoek","dwhp_08","dwhp_08z","8","z","23165.6","199212.1",2022-08-24,"dwhp_08z_20220824","NJ"
"Westhoek","dwhp_09","dwhp_09c","9","c","22845.6","199214.1",2023-06-13,"dwhp_09c_20230613","VJ"
"Westhoek","dwhp_09","dwhp_09c","9","c","22845.6","199214.1",2023-09-06,"dwhp_09c_20230906","NJ"
